わたし|私|tôi|1
わたしたち|私たち|chúng tôi, chúng ta|1
かれ|彼|anh ấy, bạn trai|1
かのじょ|彼女|cô ấy, bạn gái|1
みなさん|皆さん|các anh chị, các ông bà, các bạn, quý vị|1
あなた||anh/chị, ông/bà, bạn(ngôi thứ II số ít)|1
あのひと（あのかた）|あの人（あの方）|người đó, anh kia, chị kia(あのかた : vị kia - là cách nói lịch sự của あのひと)|1
きょうし|教師|giáo viên|1
せんせい|先生|thầy/cô|1
がくせい|学生|học sinh|1
うんてんしゅ|運転手|tài xế|1
かいしゃいん|会社員|nhân viên công ty|1
しゃいん|社員|nhân viên công ty|1
ぎんこういん|銀行員|nhân viên ngân hàng|1
いしゃ|医者|bác sĩ|1
エンジニア||kỹ sư|1
けんきゅうしゃ|研究者|nhà nghiên cứu|1
りゅうがくせい|留学生|du học sinh|1
だれ（どなた）|ai (どなた: vị nào - là cách nói lịch sự của だれ)|1
だいがく|大学|đại học, trường đại học|1
びょういん|病院|bệnh viện|1
にほん|日本|Nhật Bản|1
ベトナム||Việt Nam|1
かんこく|韓国|Hàn Quốc|1
ちゅうごく|中国|Trung Quốc|1
アメリカ||Mỹ|1
イギリス||Anh|1
～じん|～人|người ~|1
～ご|～語|tiếng ~|1
しゅっしん|出身|xuất thân, quê quán|1
～からきました|～から来ました|(tôi) đến từ ~|1
はい||vâng, dạ|1
いいえ||không|1
しつれいですが|失礼ですが|Xin lỗi,…(dùng khi hỏi ai đó về thông tin cá nhân như là tên hoặc địa chỉ của họ)|1
おねがいします|お願いします|Anh/ Chị vui lòng nhắc lại tên một lần nữa được không ạ?|1
おねがいします|お願いします|Rất mong nhận được sự giúp đỡ của anh/chị!|1
そうですか||Vậy à/ Thế à?|1
おしごとはなんですか|お仕事は何ですか|Công việc của anh/chị là gì thế?|1
これ||cái này, đây (vật ở gần người nói)|2
それ||cái đó, đó (vật ở gần người nghe)|2
あれ||cái kia, kia (vật ở xa cả người nói và người nghe)|2
この～||~ này|2
その～||~ đó|2
あの～||~ kia|2
パソコン||máy tính cá nhân|2
けいたい|携帯|điện thoại di động|2
でんわ|電話|điện thoại|2
アイフォン||iphone|2
じゅうでんき|充電器|sạc pin|2
ヘッドフォン||tai nghe|2
カメラ||máy ảnh|2
テレビ||tivi|2
くるま|車|ô tô, xe hơi|2
とけい|時計|đồng hồ|2
ペン||bút|2
ボールペン||bút bi|2
えんぴつ|鉛筆|bút chì|2
シャープペンシル||bút chì kim|2
けしゴム|消しゴム|tẩy|2
ほん|本|sách|2
ノート||vở|2
てちょう|手帳|sổ tay|2
じしょ|辞書|từ điển|2
しんぶん|新聞|báo|2
ざっし|雑誌|tạp chí|2
めいし|名刺|danh thiếp|2
カード||thẻ, cạc|2
クレジットカード||thẻ tín dụng|2
ぼうし|帽子|mũ|2
さいふ|財布|ví|2
かばん||cặp sách, túi sách|2
くつ|靴|giày|2
スリッパ||dép đi trong nhà|2
くつした|靴下|tất|2
かぎ|鍵|chìa khóa|2
かさ|傘|ô, dù|2
つくえ|机|bàn|2
いす|椅子|cái ghế|2
えいご|英語|tiếng Anh|2
なん|何|cái gì (từ để hỏi)|2
そう||đúng, phải, đúng vậy|2
ちがいます|違います|không phải, sai rồi|2
ほんのきもち|ほんの気持ち|Đây là chút lòng thành của tôi!|2
ここ||chỗ này, đây|3
そこ||chỗ đó, đó|3
あそこ||chỗ kia, kia|3
どこ||chỗ nào, đâu|3
こちら||phía này (cách nói lịch sự của ここ)|3
そちら||phía đó (cách nói lịch sự của そこ)|3
あちら||phía kia (cách nói lịch sự của あそこ)|3
どちら||phía nào (cách nói lịch sự của どこ)|3
うけつけ|受付|quầy lễ tân (dùng cho công ty, cơ quan)|3
フロント||quầy lễ tân (dùng cho khách sạn)|3
かいだん|階段|cầu thang|3
エレベーター||thang máy|3
エスカレーター||thang cuốn|3
おてあらい|お手洗い|phòng vệ sinh|3
トイレ||phòng vệ sinh|3
うち||nhà|3
いえ||nhà|3
へや|部屋|căn phòng|3
きょうしつ|教室|phòng học|3
じむしょ|事務所|văn phòng|3
かいぎしつ|会議室|phòng họp|3
しょくどう|食堂|nhà ăn|3
ビル||tòa nhà|3
デパート||trung tâm thương mại|3
スーパー||siêu thị|3
センター||trung tâm|3
えいがかん|映画館|rạp chiếu phim|3
きっさてん|喫茶店|quán trà, cà phê|3
としょかん|図書館|thư viện|3
かいしゃ|会社|công ty|3
がっこう|学校|trường học|3
ゆうびんきょく|郵便局|bưu điện|3
ぎんこう|銀行|ngân hàng|3
バスてい||trạm xe bus|3
えき|駅|nhà ga|3
[お] くに|[お] 国|đất nước (của anh/chị)|3
いくら||bao nhiêu tiền|3
えん|円|yên|3
げつようび|月曜日|thứ hai|4
かようび|火曜日|thứ ba|4
すいようび|水曜日|thứ tư|4
もくようび|木曜日|thứ năm|4
きんようび|金曜日|thứ sáu|4
どようび|土曜日|thứ bảy|4
にちようび|日曜日|chủ nhật|4
なんようび|何曜日|thứ mấy|4
いま|今|bây giờ|4
ごぜん|午前|sáng, trước 12 giờ trưa|4
ごご|午後|chiều, sau 12 giờ trưa|4
はん|半|rưỡi, nửa|4
あさ|朝|buổi sáng, sáng|4
ひる|昼|buổi trưa, trưa|4
ゆうがた|夕方|buổi chiều, chiều|4
ばん|晩|buổi tối, tối|4
よる|夜|đêm, khuya|4
おととい|一昨日|hôm kia|4
きのう|昨日|hôm qua|4
きょう|今日|hôm nay|4
あした|明日|ngày mai|4
あさって|明後日|ngày kia|4
けさ|今朝|sáng nay|4
こんばん|今晩|tối nay|4
こんや|今夜|đêm nay|4
やすみ|休み|nghỉ, nghỉ phép, ngày nghỉ|4
ひるやすみ|昼休み|nghỉ trưa|4
まいあさ|毎朝|mỗi sáng|4
まいばん|毎晩|mỗi tối|4
まいにち|毎日|mỗi ngày|4
なんじ|何時|mấy giờ|4
なんぷん|何分|mấy phút|4
はたらきます|働きます|làm việc|4
やすみます|休みます|nghỉ, nghỉ ngơi|4
おわります|終わります|hết, kết thúc, xong|4
おきます|起きます|thức dậy|4
ねます|寝ます|ngủ|4
べんきょうします|勉強します|học|4
～から||từ ~|4
～まで||đến ~|4
～と～||~ và (dùng để nối hai danh từ)|4
しけん|試験|kỳ thi|4
かいぎ|会議|cuộc họp|4
Số đếm + じ||Số đếm + Giờ|4
ひこうき|飛行機|máy bay|5
ふね|船|thuyền, tàu thủy|5
ちかてつ|地下鉄|tàu điện ngầm|5
でんしゃ|電車|tàu điện|5
バイク||xe máy|5
バス||xe bus|5
タクシー||taxi|5
じてんしゃ|自転車|xe đạp|5
あるいて|歩いて|đi bộ|5
ホテル||khách sạn|5
びじゅつかん|美術館|bảo tàng mỹ thuật|5
ホーチミンし|ホーチミン市|Thành phố Hồ Chí Minh|5
ハイズオン||Hải Dương|5
ハロンわん|ハロン湾|vịnh Hạ Long|5
ともだち|友達|bạn, bạn bè|5
ひとりで|一人で|một mình|5
ひと|人|người|5
かぞく|家族|gia đình|5
せんしゅう|先週|tuần trước|5
こんしゅう|今週|tuần này|5
らいしゅう|来週|tuần sau|5
せんげつ|先月|tháng trước|5
こんげつ|今月|tháng này|5
らいげつ|来月|tháng sau|5
きょねん|去年|năm ngoái|5
ことし|今年|năm nay|5
らいねん|来年|năm sau|5
ついたち|一日|mồng 1|5
ふつか|二日|mồng 2|5
みっか|三日|mồng 3|5
よっか|四日|mồng 4|5
いつか|五日|mồng 5|5
むいか|六日|mồng 6|5
なのか|七日|mồng 7|5
ようか|八日|mồng 8|5
ここのか|九日|mồng 9|5
とおか|十日|mồng 10|5
じゅうよっか|十四日|ngày 14|5
はつか|二十日|ngày 20|5
にじゅうよっか|二十四日|ngày 24|5
たんじょうび|誕生日|sinh nhật|5
～ごろ||khoảng ~|5
なんにち|何日|ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày|5
なんがつ|何月|tháng mấy|5
いつ||bao giờ, khi nào|5
いきます|行きます|đi|5
きます|来ます|đến|5
かえります|帰ります|về|5
にっき|日記|Nhật kí|5
ほんしゃ|本社|Trụ sở chính|5
くうこう|空港|Sân bay|5
Số đếm + ねん|Số đếm + 年|Số đếm + năm|5
Số đếm + がつ|Số đếm + 月|Số đếm + tháng|5
Số đếm + にち|Số đếm + 日| Số đếm + ngày|5
チョコレート||sô cô la|6
パン||bánh mỳ|6
ごはん|ご飯|cơm|6
たまご|卵|trứng|6
にく|肉|thịt|6
ぎゅうにく|牛肉|thịt bò|6
さかな|魚|cá|6
やさい|野菜|rau củ|6
くだもの|果物|hoa quả|6
みず|水|nước|6
おちゃ|お茶|trà|6
コーヒー||cà phê|6
ワイン||rượu vang|6
ジュース||nước hoa quả|6
ビール||bia|6
おさけ|お酒|rượu|6
たばこ||thuốc lá|6
くすり|薬|thuốc|6
てがみ|手紙|thư, bức thư|6
メール||mail|6
レポート||bản báo cáo|6
コメント||bình luận|6
おんがく|音楽|âm nhạc|6
えいが|映画|phim, điện ảnh|6
しゃしん|写真|ảnh|6
しゅくだい|宿題|bài về nhà|6
テニス||tennis|6
サッカー||bóng đá|6
[お]はなみ|[お]花見|ngắm hoa anh đào|6
レストラン||nhà hàng|6
カフェ||quán cà phê|6
にわ|庭|vườn|6
みせ|店|cửa hàng, tiệm|6
[お]しょうがつ|お正月|tết, năm mới|6
みんなで||mọi người cùng|6
なに|何|cái gì, gì|6
よみます|読みます|đọc|6
かきます|書きます|viết|6
かいます|買います|mua|6
とります「しゃしんを」|撮ります「写真を」|chụp ảnh|6
ききます|聞きます|nghe|6
すいます|吸います|hút thuốc|6
します||làm|6
あいます|会います|gặp|6
のみます|飲みます|uống|6
たべます|食べます|ăn|6
みます|見ます|xem, nhìn, trông|6
しょくじします|食事します|dùng bữa|6
いっしょに|一緒に|cùng nhau|6
ちょっと||một chút|6
いつも||luôn luôn, lúc nào cũng|6
ときどき|時々|thỉnh thoảng|6
イケメン[な]||đẹp trai|7
きれい[な]|綺麗|xinh, đẹp, sạch|7
しんせつ[な]|親切|tốt bụng|7
げんき[な]|元気|khỏe mạnh|7
しずか[な]|静か|yên tĩnh|7
にぎやか[な]|賑やか|náo nhiệt|7
ゆうめい[な]|有名|nổi tiếng|7
べんり[な]|便利|tiện lợi|7
たいせつ[な]|大切|quan trọng|7
ひま[な]|暇|rảnh rỗi|7
いそがしい|忙しい|bận rộn|7
おおきい|大きい|to, lớn|7
ちいさい|小さい|nhỏ, bé|7
あたらしい|新しい|mới|7
ふるい|古い|cũ|7
いい (よい）||tốt|7
わるい|悪い|xấu|7
あつい|暑い|nóng (dùng cho thời tiết)|7
さむい|寒い|lạnh, rét (dùng cho thời tiết)|7
あつい|熱い|nóng (dùng cho cảm giác)|7
つめたい|冷たい|lạnh, buốt (dùng cho cảm giác)|7
むずかしい|難しい|khó|7
やさしい|易しい, 優しい|dễ, hiền lành|7
たかい|高い|đắt, cao|7
やすい|安い|rẻ|7
ひくい|低い|thấp|7
あかるい|明るい|sáng sủa, tươi sáng|7
くらい|暗い|tối, u ám|7
おもしろい|面白い|thú vị|7
かわいい|可愛い|dễ thương|7
おいしい|美味しい|ngon|7
たのしい|楽しい|vui vẻ|7
しろい|白い|trắng|7
あかい|赤い|đỏ|7
あおい|青い|xanh|7
くろい|黒い|đen|7
さびしい|寂しい|cô đơn|7
はな|花|hoa|7
さくら|桜|hoa anh đào|7
やま|山|núi|7
ふじさん|富士山|núi Phú Sĩ|7
まち|町|thị trấn, thành phố|7
たべもの|食べ物|đồ ăn|7
きもの|着物|kimono|7
きかい|機械|máy móc|7
ところ|所|nơi, chỗ|7
べんきょう|勉強|học, việc học|7
せいかつ|生活|cuộc sống, sinh hoạt, đời sống|7
ぶっか|物価|vật giá|7
[お]しごと|お仕事|công việc|7
りょうり|料理|món ăn|7
パスポート||hộ chiếu|7
どう||thế nào|7
どんな||như thế nào|7
どれ||cái nào|7
とても||rất|7
あまり||không ~ lắm(dùng với thể phủ định)|7
そして||hơn nữa, và (dùng để nối 2 câu)|7
～が、～||～ nhưng ～|7


まいしゅう|毎週|mỗi tuần|8
まいつき|毎月|mỗi tháng|8
まいとし|毎年|mỗi năm|8
ちち|父|bố (dùng khi nói về bố mình)|8
はは|母|mẹ (dùng khi nói về mẹ mình)|8
おとうさん|お父さん|bố (dùng khi nói về bố người khác và dùng khi xưng hô với bố mình)|8
おかあさん|お母さん|mẹ (dùng khi nói về mẹ người khác và dùng khi xưng hô với mẹ mình)|8
おっと／しゅじん|夫／主人|chồng (mình)|8
つま／かない|妻／家内|vợ (mình)|8
ごしゅじん|ご主人|chồng (của người khác) (khi muốn hỏi hoặc giới thiệu chồng của ai đó thì sử dụng từ này)|8
おくさん|奥さん|vợ (của người khác) (khi muốn hỏi hoặc giới thiệu vợ của ai đó thì dùng từ này)|8
て|手|tay|8
はし|箸|đũa|8
スプーン||thìa|8
フォーク||dĩa, nĩa|8
ナイフ||dao|8
はさみ|鋏|kéo|8
かみ|紙|giấy|8
はな|花|hoa|8
シャツ||áo sơ mi|8
プレゼント||quà tặng|8
きっぷ|切符|vé|8
おちゃわん|お茶碗|bát|8
おかね|お金|tiền|8
クリスマス||Giáng sinh|8
インターネット||internet|8
ニュース||tin tức, bản tin|8
きります|切ります|cắt|8
おくります|送ります|gửi|8
もらいます|貰います|nhận|8
ならいます|習います|học|8
かします|貸します|cho mượn|8
あげます|上げます|cho, tặng|8
おしえます|教えます|dạy|8
かけます「でんわを～」|かけます「電話を～」|gọi điện thoại|8
かります|借ります|vay, mượn|8
もう||đã|8
まだ||vẫn, chưa|8
これから||từ bây giờ, từ nay|8
このあいだ|この間|vừa rồi, hôm nọ|8
こいびと|恋人|người yêu|8
すき[な]|好き|thích|9
きらい[な]|嫌い|ghét, không thích|9
じょうず[な]|上手|giỏi, khéo|9
へた[な]|下手|kém|9
いたい|痛い|đau|9
おじいさん|お祖父さん|ông|9
おじいちゃん|お祖父ちゃん|ông|9
おばあさん|お祖母さん|bà|9
おばあちゃん|お祖母ちゃん|bà|9
はいしゃ|歯医者|nha sĩ|9
りょうり|料理|món ăn, việc nấu ăn [～をします: nấu ăn]|9
のみもの|飲み物|đồ uống|9
スポーツ||thể thao|9
やきゅう|野球|bóng chày|9
ダンス||nhảy, khiêu vũ|9
カラオケ||karaoke|9
うた|歌|bài hát|9
かぶき|歌舞伎|kịch kabuki|9
え|絵|tranh, hội họa|9
じ|字|chữ|9
かんじ|漢字|chữ Hán|9
かぜ 「～をひきます」|風邪 「～をひきます」|cảm, cúm [bị cảm] |9
ねつ 「～があります」|熱 「～があります」|sốt [bị sốt] |9
じかん|時間|thời gian|9
ようじ|用事|việc bận, công chuyện|9
やくそく|約束|cuộc hẹn, lời hứa|9
は|歯|răng|9
どうして||tại sao|9
わかります|分かります|hiểu, nắm được|9
あります|有ります|có (sở hữu)|9
よく||tốt, rõ (chỉ mức độ), thường|9
だいたい||đại khái, đại thể|9
たくさん||nhiều|9
すこし|少し|ít, một ít|9
ぜんぜん|全然|hoàn toàn ~ không|9
はやく|早く|sớm, nhanh|9
～から||vì ~|9
ほかに|他に|ngoài ra, bên cạnh đó|9
コンサート||buổi hòa nhạc|9
チケット||vé|9
ざんねん|残念|Đáng tiếc|9
いろいろ[な]|色々|nhiều, đa dạng|10
おとこのひと|男の人|người đàn ông|10
おんなのひと|女の人|người phụ nữ|10
おとこのこ|男の子|cậu bé|10
おんなのこ|女の子|cô bé|10
いぬ|犬|chó|10
ねこ|猫|mèo|10
き|木|cây, gỗ|10
もの|物|vật, đồ vật|10
はこ|箱|hộp|10
れいぞうこ|冷蔵庫|tủ lạnh|10
テーブル||bàn|10
ベッド||giường|10
こうえん|公園|công viên|10
ほんや|本屋|hiệu sách|10
いけ|池|cái ao|10
～や||hiệu ~, cửa hàng ~|10
ちか|地下|tầng hầm|10
うえ|上|trên|10
した|下|dưới|10
まえ|前|trước|10
うしろ|後ろ|sau|10
みぎ|右|phải|10
ひだり|左|trái|10
なか|中|trong, giữa|10
そと|外|ngoài|10
となり|隣|bên cạnh|10
ちかく|近く|gần|10
とおい|遠い|xa|10
あいだ|間|giữa|10
あります|有ります|có (tồn tại, dùng cho đồ vật)|10
います|居ます|có, ở (tồn tại, dùng cho người và động vật)|10
～や～など||~ và ~, [v.v.]|10